train_step,forward_agent/optimal_pd,method,source
21155,65.91285259377204,RISC,risc
21176,58.8930492041298,RISC,risc
21235,83.26842207213096,RISC,risc
21291,69.0471765600837,RISC,risc
21312,90.94822669544266,RISC,risc
21333,90.85550496751692,RISC,risc
21366,83.90017867227489,RISC,risc
21403,70.22083313439722,RISC,risc
21455,70.63441376313804,RISC,risc
21476,68.90515457611875,RISC,risc
21553,68.84888963145399,RISC,risc
21592,83.04569362465011,RISC,risc
21613,89.55586024456821,RISC,risc
21634,85.02817945387322,RISC,risc
21795,78.27123156821416,RISC,risc
21816,92.91704130097743,RISC,risc
21863,88.47705666734326,RISC,risc
21911,76.5701180424953,RISC,risc
22022,80.4515870716411,RISC,risc
22043,98.13691198254705,RISC,risc
22109,67.2052853114551,RISC,risc
22150,53.987725757634955,RISC,risc
22171,76.09016147592145,RISC,risc
22192,48.99013521346773,RISC,risc
22256,52.192328955252975,RISC,risc
22295,75.62598422628236,RISC,risc
22316,65.28773693826479,RISC,risc
22337,48.12468814296202,RISC,risc
22384,59.63971430983624,RISC,risc
22405,47.59261705047319,RISC,risc
22449,52.961377786922746,RISC,risc
22470,43.90041942217102,RISC,risc
22491,46.3953097630335,RISC,risc
22518,53.88821891416147,RISC,risc
22556,56.55652691993732,RISC,risc
22580,75.10939132471118,RISC,risc
22601,78.40406214747718,RISC,risc
22627,74.25442517609714,RISC,risc
22660,73.42058745536934,RISC,risc
22702,74.28601196842,RISC,risc
22723,72.09561845943736,RISC,risc
22744,82.26370730872021,RISC,risc
22858,68.49836477580065,RISC,risc
22944,15.1704129837772,RISC,risc
23040,1.7515108367950418,RISC,risc
23111,1.3069564131983509,RISC,risc
23197,54.18685586927048,RISC,risc
23252,84.59518785195606,RISC,risc
23273,79.67658618878163,RISC,risc
23330,57.87309149699779,RISC,risc
23405,63.367335214564925,RISC,risc
23426,79.5401077557488,RISC,risc
23458,77.83178397140225,RISC,risc
23486,77.84806696286967,RISC,risc
23512,76.91198715955555,RISC,risc
23533,78.0660712536424,RISC,risc
