returns,train_step,method,seed,environment,source
1.0,2680000.0,Episodic,1,Sawyer Door,baseline
1.0,2690000.0,Episodic,1,Sawyer Door,baseline
1.0,2700000.0,Episodic,1,Sawyer Door,baseline
1.0,2710000.0,Episodic,1,Sawyer Door,baseline
1.0,2720000.0,Episodic,1,Sawyer Door,baseline
1.0,2730000.0,Episodic,1,Sawyer Door,baseline
1.0,2740000.0,Episodic,1,Sawyer Door,baseline
1.0,2750000.0,Episodic,1,Sawyer Door,baseline
1.0,2760000.0,Episodic,1,Sawyer Door,baseline
1.0,2770000.0,Episodic,1,Sawyer Door,baseline
1.0,2780000.0,Episodic,1,Sawyer Door,baseline
1.0,2790000.0,Episodic,1,Sawyer Door,baseline
1.0,2800000.0,Episodic,1,Sawyer Door,baseline
1.0,2810000.0,Episodic,1,Sawyer Door,baseline
1.0,2820000.0,Episodic,1,Sawyer Door,baseline
1.0,2830000.0,Episodic,1,Sawyer Door,baseline
1.0,2840000.0,Episodic,1,Sawyer Door,baseline
1.0,2850000.0,Episodic,1,Sawyer Door,baseline
1.0,2860000.0,Episodic,1,Sawyer Door,baseline
1.0,2870000.0,Episodic,1,Sawyer Door,baseline
1.0,2880000.0,Episodic,1,Sawyer Door,baseline
1.0,2890000.0,Episodic,1,Sawyer Door,baseline
1.0,2900000.0,Episodic,1,Sawyer Door,baseline
1.0,2910000.0,Episodic,1,Sawyer Door,baseline
1.0,2920000.0,Episodic,1,Sawyer Door,baseline
1.0,2930000.0,Episodic,1,Sawyer Door,baseline
1.0,2940000.0,Episodic,1,Sawyer Door,baseline
1.0,2950000.0,Episodic,1,Sawyer Door,baseline
1.0,2960000.0,Episodic,1,Sawyer Door,baseline
1.0,2970000.0,Episodic,1,Sawyer Door,baseline
1.0,2980000.0,Episodic,1,Sawyer Door,baseline
1.0,2990000.0,Episodic,1,Sawyer Door,baseline
1.0,3000000.0,Episodic,1,Sawyer Door,baseline
1.0,3010000.0,Episodic,1,Sawyer Door,baseline
1.0,3020000.0,Episodic,1,Sawyer Door,baseline
1.0,3030000.0,Episodic,1,Sawyer Door,baseline
1.0,3040000.0,Episodic,1,Sawyer Door,baseline
1.0,3050000.0,Episodic,1,Sawyer Door,baseline
1.0,3060000.0,Episodic,1,Sawyer Door,baseline
1.0,3070000.0,Episodic,1,Sawyer Door,baseline
1.0,3080000.0,Episodic,1,Sawyer Door,baseline
1.0,3090000.0,Episodic,1,Sawyer Door,baseline
1.0,3100000.0,Episodic,1,Sawyer Door,baseline
1.0,3110000.0,Episodic,1,Sawyer Door,baseline
